NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190001421565,28.0,528.3,628.5,611.8,587.1,120.0,120.0,140.0,140.0,60.0,580.0,1.0,588.925
190001421566,33.0,504.8,582.5,578.3,648.1,120.0,120.0,120.0,120.0,60.0,540.0,4.0,578.425
190001517230,18.0,402.9,509.7,534.2,451.9,120.0,120.0,90.0,120.0,60.0,500.0,3.0,474.67499999999995
190001595676,17.0,565.5,590.4,600.0,687.0,160.0,170.0,170.0,170.0,180.0,940.0,4.0,610.725
190001480447,18.0,419.5,540.9,495.8,444.6,120.0,140.0,100.0,120.0,0.0,480.0,6.0,475.20000000000005
190001595677,20.0,565.4,543.4,598.4,668.1,120.0,120.0,120.0,120.0,100.0,580.0,2.0,593.8249999999999
190001743754,19.0,574.6,636.9,591.8,556.3,120.0,120.0,120.0,140.0,120.0,620.0,3.0,589.9
190001595678,32.0,407.1,527.3,491.5,491.6,120.0,100.0,120.0,120.0,80.0,540.0,3.0,479.375
190001421567,24.0,439.6,451.6,466.6,492.2,100.0,120.0,100.0,120.0,20.0,460.0,3.0,462.50000000000006
190001475150,18.0,407.6,467.4,535.5,395.8,120.0,120.0,100.0,120.0,160.0,620.0,6.0,451.575
190001237819,18.0,585.3,647.2,606.0,720.5,170.0,170.0,170.0,170.0,200.0,960.0,4.0,639.75
190001409451,30.0,521.8,529.4,544.1,436.1,160.0,120.0,120.0,140.0,120.0,660.0,4.0,507.8499999999999
190001210205,25.0,441.6,549.0,536.2,570.9,120.0,120.0,140.0,140.0,140.0,660.0,3.0,524.4250000000001
190002194570,20.0,441.1,555.2,531.3,533.6,100.0,120.0,120.0,120.0,40.0,500.0,8.0,515.3
190001421568,19.0,424.4,387.5,419.1,363.6,100.0,120.0,100.0,90.0,80.0,480.0,4.0,398.65
190001475151,17.0,438.5,599.2,573.4,567.8,160.0,170.0,170.0,160.0,180.0,860.0,3.0,544.7249999999999
190001595681,21.0,519.1,551.0,514.2,457.8,140.0,170.0,140.0,170.0,160.0,800.0,3.0,510.525
190001082477,33.0,568.2,546.0,524.9,469.6,120.0,120.0,120.0,120.0,100.0,580.0,3.0,527.175
